0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
48.0,43.0,12.0,38.0,62.0,55.0,16.0,52.0,42.0,43.0,13.0,38.0,39.0,39.0,10.0,38.0,7.0,5.0,1.0,4.0,7.0,6.0,4.0,8.0,6.0,5.0,3.0,4.0,3.0,5.0,1.0,2.0,10.0,5.0,6.0,10.0,8.0,8.0,5.0,12.0,6.0,4.0,6.0,4.0,6.0,4.0,3.0,9.0,13.0,11.0,16.0,13.0,14.0,18.0,27.0,24.0,9.0,8.0,12.0,16.0,11.0,10.0,11.0,19.0,9.0,4.0,5.0,7.0,5.0,5.0,4.0,6.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,7.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0
50.0,45.0,14.0,38.0,63.0,57.0,19.0,54.0,46.0,45.0,14.0,40.0,39.0,40.0,12.0,38.0,6.0,4.0,1.0,5.0,8.0,6.0,3.0,6.0,4.0,5.0,2.0,7.0,3.0,6.0,1.0,5.0,9.0,6.0,7.0,8.0,9.0,8.0,8.0,14.0,4.0,4.0,7.0,5.0,5.0,6.0,5.0,6.0,12.0,10.0,14.0,12.0,14.0,15.0,24.0,20.0,9.0,6.0,13.0,13.0,8.0,11.0,9.0,15.0,9.0,4.0,7.0,7.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,2.0,5.0,0.0,4.0,2.0,1.0,0.0,2.0,2.0
49.0,46.0,14.0,41.0,59.0,50.0,15.0,50.0,48.0,48.0,12.0,44.0,38.0,36.0,11.0,39.0,6.0,3.0,3.0,5.0,5.0,9.0,2.0,6.0,4.0,3.0,5.0,4.0,2.0,4.0,1.0,2.0,9.0,4.0,9.0,8.0,8.0,5.0,6.0,11.0,6.0,6.0,8.0,6.0,7.0,2.0,6.0,6.0,14.0,11.0,14.0,13.0,14.0,19.0,21.0,22.0,9.0,7.0,11.0,13.0,8.0,11.0,9.0,19.0,10.0,4.0,5.0,7.0,6.0,7.0,3.0,6.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,5.0,2.0,1.0,2.0,2.0,3.0
46.0,40.0,13.0,35.0,65.0,64.0,22.0,56.0,41.0,42.0,13.0,35.0,41.0,42.0,11.0,39.0,7.0,3.0,2.0,5.0,6.0,8.0,3.0,8.0,5.0,5.0,3.0,6.0,2.0,6.0,3.0,2.0,8.0,4.0,8.0,8.0,10.0,10.0,5.0,14.0,6.0,4.0,5.0,4.0,6.0,6.0,5.0,7.0,11.0,8.0,16.0,15.0,15.0,15.0,28.0,18.0,10.0,6.0,12.0,13.0,8.0,8.0,10.0,16.0,8.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,6.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,2.0,2.0,0.0,4.0,1.0
48.0,45.0,14.0,38.0,60.0,55.0,14.0,51.0,47.0,46.0,14.0,39.0,37.0,37.0,10.0,39.0,6.0,4.0,3.0,5.0,6.0,6.0,2.0,7.0,5.0,3.0,4.0,6.0,2.0,5.0,4.0,2.0,8.0,4.0,7.0,7.0,8.0,6.0,7.0,12.0,4.0,6.0,8.0,4.0,8.0,5.0,5.0,8.0,13.0,12.0,15.0,13.0,14.0,16.0,23.0,22.0,10.0,8.0,12.0,14.0,9.0,11.0,12.0,17.0,7.0,4.0,7.0,10.0,4.0,6.0,4.0,5.0,3.0,7.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,2.0
53.0,47.0,15.0,39.0,59.0,51.0,16.0,52.0,60.0,58.0,16.0,53.0,40.0,39.0,13.0,40.0,6.0,3.0,2.0,5.0,6.0,6.0,5.0,7.0,5.0,4.0,1.0,7.0,2.0,5.0,2.0,5.0,7.0,4.0,10.0,7.0,8.0,5.0,9.0,8.0,8.0,6.0,12.0,6.0,5.0,2.0,8.0,8.0,13.0,9.0,12.0,9.0,12.0,12.0,17.0,16.0,8.0,6.0,10.0,10.0,8.0,9.0,7.0,13.0,6.0,5.0,5.0,5.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0,2.0,1.0
51.0,43.0,16.0,34.0,68.0,62.0,18.0,58.0,51.0,51.0,16.0,42.0,40.0,44.0,11.0,40.0,7.0,5.0,4.0,4.0,7.0,7.0,3.0,8.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,2.0,9.0,5.0,7.0,6.0,10.0,7.0,7.0,13.0,5.0,5.0,10.0,4.0,5.0,4.0,7.0,8.0,9.0,8.0,13.0,7.0,11.0,15.0,23.0,15.0,9.0,7.0,12.0,9.0,8.0,7.0,12.0,12.0,7.0,2.0,8.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0
50.0,42.0,16.0,36.0,63.0,62.0,17.0,56.0,45.0,44.0,14.0,36.0,39.0,42.0,13.0,38.0,6.0,4.0,2.0,5.0,6.0,6.0,2.0,7.0,5.0,5.0,4.0,5.0,3.0,5.0,1.0,5.0,7.0,4.0,6.0,8.0,11.0,7.0,7.0,12.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,9.0,13.0,10.0,16.0,11.0,13.0,18.0,27.0,19.0,11.0,8.0,13.0,12.0,10.0,8.0,9.0,15.0,8.0,3.0,6.0,8.0,5.0,6.0,6.0,4.0,2.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,2.0,0.0,1.0,3.0,1.0
51.0,45.0,13.0,39.0,55.0,50.0,12.0,48.0,49.0,50.0,15.0,46.0,37.0,35.0,10.0,38.0,7.0,4.0,4.0,4.0,5.0,10.0,2.0,6.0,3.0,4.0,2.0,7.0,4.0,4.0,1.0,2.0,8.0,5.0,9.0,7.0,9.0,5.0,6.0,11.0,7.0,7.0,7.0,7.0,6.0,3.0,7.0,5.0,12.0,12.0,15.0,13.0,17.0,19.0,21.0,22.0,10.0,8.0,12.0,14.0,9.0,11.0,9.0,20.0,8.0,4.0,7.0,8.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,4.0,2.0,1.0,1.0,4.0,2.0
53.0,46.0,15.0,41.0,59.0,49.0,15.0,53.0,65.0,60.0,18.0,56.0,41.0,39.0,12.0,42.0,7.0,4.0,3.0,4.0,7.0,8.0,2.0,6.0,4.0,3.0,4.0,6.0,1.0,5.0,2.0,2.0,8.0,6.0,11.0,5.0,9.0,6.0,10.0,9.0,8.0,7.0,10.0,7.0,6.0,4.0,7.0,5.0,8.0,11.0,11.0,8.0,13.0,12.0,17.0,15.0,7.0,6.0,10.0,11.0,7.0,7.0,6.0,13.0,8.0,3.0,4.0,7.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,7.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,0.0,4.0,1.0,2.0,0.0,2.0,3.0
50.0,43.0,15.0,36.0,62.0,56.0,20.0,55.0,53.0,53.0,17.0,46.0,41.0,42.0,12.0,42.0,9.0,4.0,1.0,5.0,7.0,7.0,2.0,8.0,5.0,5.0,2.0,4.0,4.0,5.0,2.0,2.0,7.0,5.0,8.0,5.0,10.0,7.0,8.0,11.0,8.0,6.0,8.0,4.0,5.0,4.0,5.0,7.0,10.0,8.0,12.0,9.0,12.0,12.0,20.0,16.0,10.0,6.0,12.0,12.0,8.0,8.0,8.0,13.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,3.0,7.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0
51.0,45.0,16.0,38.0,61.0,57.0,19.0,56.0,57.0,57.0,18.0,49.0,40.0,42.0,12.0,41.0,5.0,5.0,1.0,4.0,6.0,8.0,3.0,6.0,3.0,4.0,3.0,8.0,4.0,6.0,1.0,1.0,8.0,4.0,10.0,6.0,9.0,7.0,8.0,10.0,6.0,5.0,9.0,5.0,7.0,3.0,8.0,6.0,8.0,10.0,12.0,10.0,14.0,13.0,20.0,15.0,10.0,6.0,11.0,9.0,7.0,8.0,8.0,14.0,8.0,7.0,6.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0
49.0,45.0,13.0,39.0,57.0,53.0,14.0,49.0,47.0,47.0,13.0,41.0,37.0,39.0,9.0,37.0,7.0,4.0,4.0,7.0,7.0,6.0,4.0,7.0,4.0,5.0,1.0,6.0,3.0,6.0,4.0,1.0,9.0,4.0,8.0,8.0,9.0,6.0,6.0,14.0,4.0,5.0,6.0,5.0,6.0,3.0,5.0,6.0,12.0,12.0,14.0,14.0,13.0,18.0,24.0,22.0,9.0,10.0,12.0,15.0,10.0,10.0,12.0,19.0,8.0,3.0,6.0,7.0,6.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,5.0,3.0,0.0,1.0,3.0,4.0
53.0,45.0,14.0,40.0,57.0,50.0,16.0,51.0,57.0,58.0,15.0,50.0,39.0,39.0,12.0,38.0,4.0,3.0,4.0,4.0,8.0,8.0,1.0,6.0,3.0,5.0,1.0,4.0,2.0,5.0,3.0,2.0,7.0,4.0,10.0,7.0,7.0,8.0,9.0,10.0,6.0,6.0,9.0,8.0,7.0,2.0,6.0,6.0,9.0,8.0,12.0,10.0,14.0,14.0,20.0,18.0,11.0,5.0,11.0,12.0,8.0,9.0,8.0,14.0,6.0,4.0,7.0,7.0,3.0,6.0,4.0,3.0,6.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,5.0,1.0,3.0,1.0,7.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0
48.0,44.0,10.0,42.0,55.0,52.0,12.0,49.0,39.0,42.0,12.0,36.0,38.0,36.0,9.0,37.0,6.0,3.0,1.0,6.0,6.0,7.0,4.0,6.0,5.0,3.0,2.0,5.0,3.0,7.0,3.0,1.0,8.0,4.0,6.0,11.0,8.0,7.0,6.0,12.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,8.0,13.0,13.0,17.0,15.0,17.0,19.0,25.0,27.0,11.0,10.0,15.0,18.0,10.0,14.0,10.0,22.0,9.0,4.0,7.0,10.0,3.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,6.0,3.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,6.0,3.0,1.0,2.0,5.0,2.0,0.0,1.0,2.0,1.0
54.0,45.0,15.0,38.0,57.0,49.0,15.0,50.0,57.0,54.0,15.0,48.0,38.0,40.0,10.0,38.0,6.0,3.0,2.0,7.0,6.0,7.0,3.0,7.0,4.0,3.0,1.0,4.0,2.0,5.0,1.0,2.0,7.0,4.0,10.0,6.0,8.0,6.0,7.0,13.0,5.0,5.0,11.0,6.0,7.0,2.0,7.0,7.0,11.0,10.0,13.0,12.0,11.0,15.0,19.0,21.0,8.0,7.0,12.0,14.0,7.0,11.0,8.0,19.0,6.0,3.0,7.0,6.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0
53.0,46.0,15.0,37.0,57.0,50.0,15.0,52.0,61.0,61.0,18.0,52.0,39.0,39.0,11.0,39.0,5.0,4.0,2.0,5.0,6.0,7.0,2.0,6.0,6.0,4.0,1.0,5.0,3.0,8.0,2.0,2.0,7.0,4.0,10.0,6.0,7.0,6.0,8.0,11.0,8.0,5.0,10.0,5.0,5.0,2.0,8.0,6.0,10.0,8.0,13.0,10.0,11.0,13.0,18.0,19.0,8.0,5.0,10.0,11.0,7.0,10.0,8.0,14.0,6.0,4.0,5.0,5.0,4.0,6.0,5.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,0.0,5.0,2.0,0.0,1.0,3.0,2.0
